race,GOV18D,GOV18R,GOV18None
WVAP,0.0734 (0.0687-0.078),0.304 (0.2992-0.3086),0.6226 (0.6166-0.6287)
OVAP,0.2422 (0.2341-0.25),0.0404 (0.0362-0.0448),0.7173 (0.7088-0.7257)
