race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0238 (0.0224-0.0252),0.0066 (0.0062-0.0071),0.0069 (0.0063-0.0075),0.0035 (0.0031-0.0039),0.0127 (0.0117-0.0137),0.9466 (0.9445-0.9485)
BVAP,0.0517 (0.0487-0.0547),0.011 (0.0099-0.0123),0.0049 (0.004-0.0058),0.0031 (0.0026-0.0037),0.038 (0.0357-0.0404),0.8913 (0.8871-0.8955)
HVAP,0.0083 (0.004-0.0146),0.0032 (0.0022-0.0044),0.004 (0.0026-0.0056),0.0055 (0.0037-0.0076),0.0106 (0.0063-0.0158),0.9685 (0.9588-0.9771)
OVAP,0.0832 (0.0703-0.0957),0.0071 (0.0056-0.0095),0.0431 (0.0366-0.0485),0.0285 (0.0249-0.0319),0.0568 (0.0477-0.0663),0.7812 (0.7628-0.8026)
