race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0382 (0.0367-0.0396),0.0014 (0.0011-0.0016),0.9604 (0.959-0.9619)
OVAP,0.0521 (0.0501-0.0542),0.0176 (0.0172-0.018),0.9303 (0.9282-0.9324)
