race,AG14D,AG14R,AG14None
WVAP,0.1321 (0.127-0.1371),0.1957 (0.1939-0.1974),0.6722 (0.6671-0.6774)
OVAP,0.2076 (0.2001-0.2158),0.0096 (0.0081-0.0114),0.7827 (0.7745-0.7905)
