race,SEN16D,SEN16R,SEN16None
WVAP,0.162 (0.1558-0.1682),0.2398 (0.2377-0.2418),0.5981 (0.5916-0.6043)
OVAP,0.2785 (0.2687-0.2881),0.0117 (0.0099-0.0137),0.7099 (0.7-0.7198)
