race,PRES12D,PRES12R,PRES12None
WVAP,0.2008 (0.195-0.2067),0.2835 (0.2816-0.2854),0.5157 (0.5097-0.5215)
OVAP,0.3934 (0.3839-0.4026),0.0086 (0.0071-0.0103),0.5979 (0.5885-0.6077)
