race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0925 (0.0895-0.0956),0.0137 (0.0121-0.0153),0.8938 (0.8904-0.8972)
OVAP,0.0567 (0.0532-0.0602),0.1138 (0.1103-0.1171),0.8295 (0.8247-0.8345)
