race,AG14D,AG14R,AG14None
WVAP,0.1288 (0.1232-0.1348),0.1885 (0.1863-0.1907),0.6826 (0.6761-0.6887)
BVAP,0.2175 (0.2068-0.2284),0.0109 (0.009-0.0129),0.7716 (0.7605-0.7824)
HVAP,0.0352 (0.0153-0.0567),0.0131 (0.0071-0.0219),0.9517 (0.9278-0.9743)
OVAP,0.3482 (0.2918-0.3967),0.0373 (0.0294-0.0461),0.6145 (0.564-0.6711)
