race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0222 (0.0211-0.0234),0.0069 (0.0065-0.0074),0.0103 (0.0097-0.0108),0.0067 (0.0062-0.0071),0.0113 (0.0104-0.0122),0.9426 (0.9409-0.9443)
OVAP,0.0531 (0.0509-0.0554),0.0086 (0.0078-0.0095),0.0068 (0.006-0.0077),0.0042 (0.0036-0.0048),0.0405 (0.0387-0.0424),0.8868 (0.8834-0.89)
