race,SEN18D,SEN18R,SEN18None
WVAP,0.172 (0.1659-0.1782),0.1744 (0.1727-0.1762),0.6536 (0.6473-0.6599)
OVAP,0.2677 (0.2582-0.2771),0.0109 (0.0092-0.0128),0.7214 (0.7119-0.7313)
