race,AG18D,AG18R,AG18None
WVAP,0.1641 (0.158-0.1702),0.2018 (0.1998-0.2037),0.6341 (0.6276-0.6405)
OVAP,0.2721 (0.2623-0.2816),0.0124 (0.0104-0.0146),0.7156 (0.7058-0.7254)
