race,SEN12D,SEN12R,SEN12None
WVAP,0.171 (0.1653-0.1771),0.1931 (0.191-0.1952),0.6359 (0.6294-0.6419)
BVAP,0.3595 (0.3494-0.3702),0.0064 (0.0052-0.0077),0.6341 (0.6233-0.6444)
HVAP,0.0875 (0.0591-0.123),0.0222 (0.0154-0.0304),0.8902 (0.8547-0.9212)
OVAP,0.5063 (0.454-0.5563),0.0348 (0.0276-0.0428),0.4589 (0.4086-0.5126)
