race,PRES16D,PRES16R,PRES16None
WVAP,0.1555 (0.1494-0.1615),0.2296 (0.2276-0.2315),0.6149 (0.6087-0.6212)
OVAP,0.2895 (0.2803-0.299),0.0108 (0.009-0.0127),0.6997 (0.6899-0.7092)
