race,GOV14D,GOV14R,GOV14None
WVAP,0.089 (0.0843-0.0935),0.2578 (0.2556-0.26),0.6532 (0.6483-0.6582)
OVAP,0.2178 (0.2099-0.2259),0.0113 (0.0095-0.0133),0.7709 (0.7628-0.779)
