race,COMP18D,COMP18R,COMP18None
WVAP,0.2115 (0.2059-0.2172),0.165 (0.1629-0.167),0.6235 (0.6178-0.6292)
OVAP,0.2543 (0.245-0.2637),0.0128 (0.0108-0.0151),0.7329 (0.7235-0.7423)
