race,COMP14D,COMP14R,COMP14None
WVAP,0.1738 (0.1687-0.179),0.1872 (0.185-0.1893),0.6391 (0.6334-0.6442)
OVAP,0.1974 (0.1894-0.2055),0.0117 (0.0097-0.0138),0.791 (0.783-0.7989)
