race,SEN12D,SEN12R,SEN12None
WVAP,0.1716 (0.1664-0.1767),0.2012 (0.1996-0.2028),0.6272 (0.6221-0.6325)
OVAP,0.3385 (0.3306-0.3465),0.0069 (0.0057-0.0083),0.6546 (0.6466-0.6626)
