race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0344 (0.0323-0.0369),0.004 (0.0035-0.0046),0.0227 (0.0218-0.0237),0.9388 (0.9361-0.9412)
BVAP,0.0285 (0.0264-0.0308),0.0371 (0.0353-0.0388),0.0325 (0.0305-0.0345),0.9019 (0.8986-0.9055)
HVAP,0.0059 (0.0037-0.0094),0.0073 (0.0043-0.0112),0.0067 (0.0042-0.01),0.9801 (0.9736-0.9854)
OVAP,0.1241 (0.0967-0.1451),0.0239 (0.0189-0.0292),0.0231 (0.0183-0.0287),0.8289 (0.8048-0.8575)
