race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0157 (0.0144-0.0171),0.0245 (0.0234-0.0254),0.022 (0.021-0.023),0.9378 (0.9357-0.9397)
BVAP,0.0768 (0.0736-0.0801),0.0143 (0.0127-0.0159),0.0118 (0.0104-0.0133),0.897 (0.893-0.9008)
HVAP,0.0076 (0.0042-0.0122),0.0087 (0.0056-0.0125),0.0049 (0.0032-0.007),0.9788 (0.971-0.9852)
OVAP,0.1045 (0.0873-0.1206),0.0308 (0.0242-0.0388),0.0283 (0.0214-0.0358),0.8364 (0.8157-0.8585)
