race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0099 (0.0062-0.014),0.0016 (0.0007-0.0028),0.0019 (0.0008-0.0035),0.0005 (0.0002-0.0009),0.002 (0.0009-0.0035),0.9841 (0.9794-0.9884)
OVAP,0.1186 (0.0699-0.1645),0.0487 (0.0322-0.062),0.066 (0.0439-0.0832),0.0237 (0.0173-0.0294),0.0558 (0.0354-0.0715),0.6872 (0.6316-0.7462)
