race,COMP18D,COMP18R,COMP18None
WVAP,0.1943 (0.182-0.206),0.211 (0.1985-0.2211),0.5947 (0.5817-0.6073)
BVAP,0.318 (0.1012-0.5939),0.2695 (0.0856-0.502),0.4125 (0.1614-0.6924)
HVAP,0.3031 (0.0853-0.5708),0.2599 (0.0726-0.5237),0.437 (0.174-0.7224)
OVAP,0.3308 (0.1037-0.6193),0.3251 (0.1055-0.5747),0.3441 (0.1189-0.643)
