race,AG14D,AG14R,AG14None
WVAP,0.0981 (0.0821-0.1125),0.2864 (0.2702-0.2982),0.6154 (0.5952-0.6362)
OVAP,0.2754 (0.1057-0.4647),0.2016 (0.0663-0.3916),0.5229 (0.28-0.7563)
