race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0037 (0.002-0.006),0.0106 (0.0076-0.0136),0.0077 (0.0056-0.0102),0.978 (0.9736-0.9821)
BVAP,0.0972 (0.0295-0.1835),0.0897 (0.0273-0.1761),0.101 (0.0359-0.1852),0.7122 (0.5919-0.8237)
HVAP,0.0827 (0.0259-0.166),0.0923 (0.0283-0.177),0.1012 (0.0291-0.1962),0.7238 (0.5932-0.8391)
OVAP,0.1857 (0.0767-0.3009),0.1698 (0.0631-0.3004),0.1603 (0.0546-0.2791),0.4842 (0.313-0.6583)
