race,COMP14D,COMP14R,COMP14None
WVAP,0.1611 (0.1495-0.1717),0.2426 (0.2321-0.2521),0.5964 (0.5831-0.609)
BVAP,0.3095 (0.1076-0.5783),0.2684 (0.0839-0.4983),0.4221 (0.1602-0.6964)
HVAP,0.3085 (0.0936-0.5685),0.2643 (0.0885-0.5106),0.4272 (0.1716-0.7199)
OVAP,0.3295 (0.1222-0.6004),0.3186 (0.1166-0.5774),0.3519 (0.1248-0.6148)
