race,AG14D,AG14R,AG14None
WVAP,0.0942 (0.0833-0.1058),0.28 (0.2684-0.2898),0.6258 (0.6133-0.6372)
BVAP,0.334 (0.1004-0.5895),0.2464 (0.0807-0.4928),0.4196 (0.197-0.6897)
HVAP,0.2739 (0.0744-0.524),0.2882 (0.1065-0.5269),0.4379 (0.1959-0.7023)
OVAP,0.3465 (0.126-0.6052),0.3055 (0.0929-0.5979),0.348 (0.128-0.6063)
