race,GOV14D,GOV14R,GOV14None
WVAP,0.0462 (0.0344-0.061),0.3696 (0.3524-0.3835),0.5842 (0.5657-0.603)
OVAP,0.3072 (0.1344-0.4516),0.2126 (0.054-0.4123),0.4802 (0.2582-0.6967)
