race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.016 (0.011-0.0214),0.0011 (0.0004-0.0021),0.0099 (0.0059-0.0139),0.973 (0.9661-0.9796)
OVAP,0.1309 (0.0655-0.1946),0.0536 (0.0386-0.0657),0.1095 (0.0581-0.1628),0.706 (0.6202-0.792)
