race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0134 (0.0095-0.0176),0.0009 (0.0003-0.0016),0.0085 (0.006-0.0112),0.9773 (0.9726-0.9817)
BVAP,0.1355 (0.0472-0.2445),0.0422 (0.0137-0.0804),0.0951 (0.0233-0.1865),0.7273 (0.5895-0.8401)
HVAP,0.1149 (0.0335-0.2265),0.0505 (0.014-0.0983),0.1031 (0.0339-0.2059),0.7315 (0.584-0.8538)
OVAP,0.2415 (0.0901-0.4013),0.0771 (0.0206-0.1305),0.1894 (0.0641-0.3197),0.4921 (0.3094-0.6894)
