race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0052 (0.0032-0.008),0.0002 (0.0001-0.0004),0.9946 (0.9918-0.9966)
BVAP,0.1408 (0.0529-0.2467),0.0108 (0.0031-0.0222),0.8484 (0.7419-0.9373)
HVAP,0.1431 (0.0422-0.2749),0.0174 (0.0047-0.0341),0.8394 (0.7083-0.94)
OVAP,0.3318 (0.1623-0.4881),0.0174 (0.0048-0.0328),0.6508 (0.4941-0.8192)
