race,COMP18D,COMP18R,COMP18None
WVAP,0.1971 (0.1774-0.2139),0.2171 (0.2001-0.2291),0.5858 (0.5659-0.6063)
OVAP,0.2847 (0.0904-0.5118),0.2137 (0.0746-0.4153),0.5017 (0.2634-0.7317)
