race,SEN16D,SEN16R,SEN16None
WVAP,0.1239 (0.1042-0.1433),0.3756 (0.3578-0.3891),0.5005 (0.4794-0.5201)
OVAP,0.3685 (0.1389-0.5985),0.2284 (0.0748-0.4355),0.4031 (0.1781-0.6476)
