race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0077 (0.0051-0.0105),0.0013 (0.0006-0.0021),0.0014 (0.0007-0.0024),0.0004 (0.0002-0.0007),0.0016 (0.0008-0.0026),0.9876 (0.9846-0.9905)
BVAP,0.1097 (0.0423-0.1952),0.039 (0.0107-0.0739),0.0416 (0.0134-0.0789),0.0158 (0.0031-0.0349),0.0385 (0.0121-0.0762),0.7554 (0.6563-0.8472)
HVAP,0.0982 (0.0332-0.1884),0.0412 (0.0139-0.0802),0.0534 (0.0182-0.1009),0.0285 (0.007-0.0548),0.0462 (0.0138-0.0936),0.7325 (0.6224-0.8257)
OVAP,0.2362 (0.1117-0.37),0.0792 (0.0329-0.1285),0.1284 (0.0654-0.189),0.0342 (0.0134-0.0587),0.1023 (0.0486-0.1546),0.4198 (0.279-0.5713)
