race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0049 (0.0023-0.0083),0.0127 (0.0085-0.0171),0.0087 (0.0054-0.0127),0.9738 (0.9671-0.9801)
OVAP,0.107 (0.064-0.1445),0.0901 (0.0355-0.1462),0.1083 (0.0568-0.1543),0.6946 (0.61-0.7805)
