race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0059 (0.0034-0.0098),0.0003 (0.0001-0.0005),0.9938 (0.99-0.9964)
OVAP,0.1939 (0.1421-0.2324),0.0133 (0.009-0.0175),0.7928 (0.7538-0.8454)
