race,COMP14D,COMP14R,COMP14None
WVAP,0.1657 (0.147-0.1807),0.2483 (0.2307-0.2604),0.586 (0.566-0.6073)
OVAP,0.2627 (0.0885-0.4819),0.2158 (0.077-0.4201),0.5216 (0.2741-0.7525)
