race,SEN18D,SEN18R,SEN18None
WVAP,0.124 (0.1111-0.1363),0.2543 (0.2422-0.2654),0.6218 (0.6088-0.6359)
BVAP,0.3571 (0.1349-0.6198),0.2501 (0.0779-0.504),0.3928 (0.153-0.6644)
HVAP,0.3236 (0.0971-0.5638),0.2774 (0.0953-0.5317),0.399 (0.1399-0.6666)
OVAP,0.365 (0.1089-0.6622),0.3046 (0.1043-0.5803),0.3304 (0.1114-0.6007)
