race,SEN18D,SEN18R,SEN18None
WVAP,0.1256 (0.107-0.1434),0.2606 (0.2444-0.2732),0.6138 (0.5931-0.6345)
OVAP,0.332 (0.1212-0.5437),0.2012 (0.0568-0.3883),0.4668 (0.2265-0.7142)
