race,PRES16D,PRES16R,PRES16None
WVAP,0.1185 (0.1061-0.1303),0.3553 (0.343-0.3659),0.5263 (0.5132-0.5384)
BVAP,0.3672 (0.1317-0.6296),0.2665 (0.0721-0.5134),0.3663 (0.1278-0.6418)
HVAP,0.3226 (0.1215-0.572),0.2752 (0.0794-0.5476),0.4022 (0.1443-0.6612)
OVAP,0.3755 (0.1249-0.6505),0.3002 (0.0961-0.5609),0.3244 (0.1109-0.6082)
