race,GOV18D,GOV18R,GOV18None
WVAP,0.0369 (0.0255-0.0498),0.3835 (0.3657-0.3967),0.5796 (0.5633-0.5979)
OVAP,0.3565 (0.2006-0.4977),0.2085 (0.0619-0.4121),0.435 (0.221-0.6278)
