race,PRES12D,PRES12R,PRES12None
WVAP,0.1594 (0.1394-0.178),0.3931 (0.3771-0.4056),0.4475 (0.4258-0.4676)
OVAP,0.3694 (0.1554-0.603),0.2061 (0.0634-0.3939),0.4244 (0.1916-0.6759)
