race,PRES16D,PRES16R,PRES16None
WVAP,0.1205 (0.1008-0.1389),0.3607 (0.3434-0.3737),0.5189 (0.495-0.5397)
OVAP,0.3338 (0.1211-0.5662),0.2172 (0.0657-0.4152),0.449 (0.2036-0.7294)
