race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0492 (0.0386-0.0604),0.0062 (0.0031-0.0105),0.9446 (0.933-0.9556)
OVAP,0.2358 (0.1058-0.3636),0.1441 (0.0855-0.1895),0.6201 (0.4859-0.7552)
