race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0443 (0.0361-0.0527),0.0052 (0.0029-0.0079),0.9505 (0.942-0.9589)
BVAP,0.2506 (0.078-0.4581),0.1262 (0.0415-0.2243),0.6232 (0.3991-0.8145)
HVAP,0.2624 (0.0957-0.4986),0.1127 (0.0292-0.2208),0.6248 (0.3964-0.8165)
OVAP,0.3777 (0.1479-0.6159),0.2269 (0.0902-0.3671),0.3954 (0.1596-0.6607)
