race,SEN12D,SEN12R,SEN12None
WVAP,0.1239 (0.1042-0.1421),0.2797 (0.2639-0.2922),0.5964 (0.5752-0.6181)
OVAP,0.3267 (0.1166-0.5593),0.2121 (0.0671-0.3946),0.4612 (0.2108-0.7084)
