race,AG18D,AG18R,AG18None
WVAP,0.12 (0.1022-0.1387),0.2935 (0.2768-0.3061),0.5864 (0.5653-0.6087)
OVAP,0.3702 (0.1547-0.5785),0.2145 (0.073-0.409),0.4153 (0.152-0.6559)
