race,SEN18D,SEN18R,SEN18None
WVAP,0.3088 (0.3057-0.312),0.2954 (0.2941-0.2967),0.3958 (0.3928-0.3988)
BVAP,0.476 (0.4487-0.5027),0.0297 (0.0245-0.0358),0.4943 (0.4679-0.5208)
HVAP,0.1866 (0.1588-0.2131),0.0512 (0.0421-0.0623),0.7622 (0.7331-0.791)
OVAP,0.4941 (0.4554-0.5333),0.0895 (0.0763-0.1039),0.4164 (0.3797-0.454)
