race,AG14D,AG14R,AG14None
WVAP,0.2161 (0.2127-0.2192),0.3032 (0.3017-0.3047),0.4807 (0.4775-0.484)
BVAP,0.4737 (0.4443-0.5045),0.0353 (0.0298-0.0414),0.491 (0.4608-0.5199)
HVAP,0.1034 (0.0792-0.1338),0.0487 (0.0359-0.0616),0.8479 (0.8191-0.872)
OVAP,0.3407 (0.3013-0.3856),0.0985 (0.0831-0.1129),0.5608 (0.5176-0.6014)
