,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,146,969,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,1577,0.05423476968796434,0.3599554234769688,0.5858098068350669
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,199,846,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,1608,0.07500942329438372,0.318884281944968,0.6061062947606484
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,242,994,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,2238,0.06966033390903857,0.28612550374208406,0.6442141623488774
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,253,980,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,1995,0.07837670384138785,0.30359355638166047,0.6180297397769516
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,151,972,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,528,0.09145972138098123,0.5887341005451242,0.3198061780738946
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,307,982,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,1591,0.10659722222222222,0.34097222222222223,0.5524305555555555
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,216,1142,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,872,0.0968609865470852,0.5121076233183857,0.39103139013452914
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,221,1004,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,1849,0.07189329863370202,0.3266102797657775,0.6014964216005205
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,381,1180,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,1122,0.14200521803950802,0.43980618710398806,0.4181885948565039
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,267,916,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,2377,0.075,0.2573033707865168,0.6676966292134832
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,268,1010,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,1733,0.08900697442710064,0.33543673198273,0.5755562935901694
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,200,1087,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,1080,0.08449514152936206,0.4592310942120828,0.45627376425855515
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,192,918,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,1255,0.08118393234672304,0.38816067653276953,0.5306553911205074
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,300,824,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,1239,0.12695725772323319,0.3487092678798138,0.524333474396953
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,207,842,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,1920,0.06972044459413944,0.2835971707645672,0.6466823846412934
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,359,861,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,2321,0.10138378988986162,0.24315165207568484,0.6554645580344536
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,226,1054,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,1685,0.07622259696458684,0.3554806070826307,0.5682967959527825
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,289,836,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,1974,0.09325588899645047,0.2697644401419813,0.6369796708615683
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,244,773,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,1381,0.10175145954962468,0.32235195996663885,0.5758965804837365
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,323,998,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,1553,0.11238691718858733,0.34725121781489215,0.5403618649965205
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,301,1015,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,1219,0.11873767258382643,0.40039447731755423,0.4808678500986193
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,338,970,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,2175,0.09704277921332186,0.27849554981337926,0.6244616709732989
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,338,750,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,2323,0.099091175608326,0.2198768689533861,0.6810319554382879
