,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,73,66,30,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,2523,0.02711738484398217,0.02451708766716196,0.011144130757800892,0.937221396731055
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,91,43,30,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,2489,0.03430079155672823,0.01620806633999246,0.011307953260459858,0.9381831888428195
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,80,68,33,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,3293,0.023028209556706966,0.01957397812320092,0.009499136442141624,0.9478986758779505
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,142,58,29,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,2999,0.04399008674101611,0.017967781908302356,0.008983890954151178,0.9290582403965304
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,52,73,34,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,1492,0.031496062992125984,0.044215626892792244,0.02059357964869776,0.903694730466384
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,140,63,27,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,2650,0.04861111111111111,0.021875,0.009375,0.9201388888888888
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,80,59,36,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,2055,0.03587443946188341,0.026457399103139014,0.016143497757847534,0.92152466367713
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,58,57,36,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,2923,0.018867924528301886,0.018542615484710475,0.011711125569290826,0.9508783344176968
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,79,46,35,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,2523,0.029444651509504285,0.01714498695490123,0.013045098770033545,0.940365262765561
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,134,72,33,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,3321,0.037640449438202245,0.020224719101123594,0.009269662921348315,0.9328651685393259
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,127,66,32,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,2786,0.042178678180006646,0.021919628030554632,0.010627698439056792,0.9252739953503819
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,72,57,29,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,2209,0.030418250950570342,0.024081115335868188,0.0122517955217575,0.9332488381918039
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,95,74,33,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,2163,0.040169133192389,0.03128964059196617,0.013953488372093023,0.9145877378435519
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,112,58,34,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,2159,0.04739737621667372,0.02454506982649175,0.014388489208633094,0.9136690647482014
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,67,54,31,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,2817,0.02256652071404513,0.018187942068036377,0.010441226002020883,0.9488043112158976
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,61,35,47,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,3398,0.01722677209827732,0.009884213499011578,0.01327308669867269,0.9596159277040384
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,58,52,49,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,2806,0.019561551433389546,0.017537942664418212,0.016526138279932545,0.9463743676222597
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,81,47,41,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,2930,0.026137463697967087,0.015166182639561149,0.013230074217489512,0.9454662794449823
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,67,54,24,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,2253,0.02793994995829858,0.022518765638031693,0.010008340283569641,0.9395329441201001
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,118,76,42,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,2638,0.04105775922059847,0.026443980514961725,0.014613778705636743,0.9178844815588031
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,83,56,37,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,2359,0.03274161735700197,0.022090729783037475,0.014595660749506903,0.9305719921104536
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,73,32,47,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,3331,0.020958943439563595,0.00918748205569911,0.013494114269308067,0.9563594602354293
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,96,39,21,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,3255,0.028144239226033423,0.011433597185576077,0.006156552330694811,0.9542656112576957
