,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
483,Prince George's,2108,Prince George's Precinct 15-003,209,723,54,1899,2108,1,0.099146110056926,0.900853889943074,1331,0.34297912713472484,0.025616698292220113,0.631404174573055
484,Prince George's,662,Prince George's Precinct 01-007,394,532,123,268,662,1,0.595166163141994,0.40483383685800606,7,0.8036253776435045,0.18580060422960726,0.010574018126888218
485,Prince George's,2108,Prince George's Precinct 06-014,231,614,36,1877,2108,1,0.10958254269449716,0.8904174573055028,1458,0.29127134724857684,0.017077798861480076,0.6916508538899431
486,Prince George's,1176,Prince George's Precinct 06-002,134,445,23,1042,1176,1,0.11394557823129252,0.8860544217687075,708,0.3784013605442177,0.0195578231292517,0.6020408163265306
487,Prince George's,2560,Prince George's Precinct 06-013,365,822,59,2195,2560,1,0.142578125,0.857421875,1679,0.32109375,0.023046875,0.655859375
488,Prince George's,3164,Prince George's Precinct 06-024,123,746,23,3041,3164,1,0.0388748419721871,0.9611251580278128,2395,0.23577749683944374,0.007269279393173199,0.756953223767383
489,Prince George's,3700,Prince George's Precinct 06-015,61,915,31,3639,3700,1,0.016486486486486488,0.9835135135135135,2754,0.2472972972972973,0.008378378378378378,0.7443243243243243
490,Prince George's,576,Prince George's Precinct 06-021,41,170,10,535,576,1,0.07118055555555555,0.9288194444444444,396,0.2951388888888889,0.017361111111111112,0.6875
491,Prince George's,4119,Prince George's Precinct 06-004,104,820,25,4015,4119,1,0.02524884680747754,0.9747511531925225,3274,0.19907744598203447,0.006069434328720563,0.794853119689245
492,Prince George's,4084,Prince George's Precinct 06-022,93,1019,35,3991,4084,1,0.02277179236043095,0.9772282076395691,3030,0.24951028403525954,0.008570029382957884,0.7419196865817825
493,Prince George's,3744,Prince George's Precinct 06-006,97,791,25,3647,3744,1,0.02590811965811966,0.9740918803418803,2928,0.21127136752136752,0.006677350427350427,0.782051282051282
494,Prince George's,2295,Prince George's Precinct 06-018,268,676,46,2027,2295,1,0.11677559912854031,0.8832244008714597,1573,0.2945533769063181,0.020043572984749455,0.6854030501089324
495,Prince George's,4108,Prince George's Precinct 06-007,492,1355,98,3616,4108,1,0.11976630963972736,0.8802336903602727,2655,0.32984420642648493,0.02385589094449854,0.6462999026290166
496,Prince George's,1925,Prince George's Precinct 09-003,1159,94,34,766,1925,1,0.6020779220779221,0.3979220779220779,1797,0.04883116883116883,0.017662337662337664,0.9335064935064935
497,Prince George's,3624,Prince George's Precinct 06-016,134,803,26,3490,3624,1,0.0369757174392936,0.9630242825607064,2795,0.2215783664459161,0.00717439293598234,0.7712472406181016
498,Prince George's,1985,Prince George's Precinct 06-005,102,625,22,1883,1985,1,0.05138539042821159,0.9486146095717884,1338,0.3148614609571788,0.011083123425692695,0.6740554156171285
499,Prince George's,3207,Prince George's Precinct 06-010,129,758,38,3078,3207,1,0.040224508886810104,0.9597754911131899,2411,0.23635796694730277,0.011849080137199874,0.7517929529154973
500,Prince George's,2204,Prince George's Precinct 06-011,132,880,30,2072,2204,1,0.05989110707803993,0.9401088929219601,1294,0.3992740471869328,0.013611615245009074,0.5871143375680581
501,Prince George's,3824,Prince George's Precinct 06-001,272,1077,43,3552,3824,1,0.07112970711297072,0.9288702928870293,2704,0.28164225941422594,0.011244769874476987,0.7071129707112971
502,Prince George's,4367,Prince George's Precinct 06-003,124,1143,46,4243,4367,1,0.028394779024501948,0.9716052209754981,3178,0.2617357453629494,0.010533547057476528,0.727730707579574
503,Prince George's,2231,Prince George's Precinct 18-011,68,553,25,2163,2231,1,0.03047960555804572,0.9695203944419543,1653,0.2478709099058718,0.011205737337516808,0.7409233527566114
504,Prince George's,2252,Prince George's Precinct 18-004,81,512,17,2171,2252,1,0.03596802841918295,0.9640319715808171,1723,0.22735346358792186,0.007548845470692718,0.7650976909413855
505,Prince George's,3235,Prince George's Precinct 18-001,86,995,25,3149,3235,1,0.026584234930448224,0.9734157650695517,2215,0.3075734157650695,0.0077279752704791345,0.6846986089644513
506,Prince George's,1927,Prince George's Precinct 02-007,906,713,140,1021,1927,1,0.4701608718214842,0.5298391281785159,1074,0.3700051894135963,0.07265179034769072,0.5573430202387131
507,Prince George's,1859,Prince George's Precinct 18-005,22,482,22,1837,1859,1,0.011834319526627219,0.9881656804733728,1355,0.2592791823561054,0.011834319526627219,0.7288864981172674
508,Prince George's,2460,Prince George's Precinct 18-003,23,692,18,2437,2460,1,0.00934959349593496,0.990650406504065,1750,0.2813008130081301,0.007317073170731708,0.7113821138211383
509,Prince George's,158,Prince George's Precinct 18-012,5,23,3,153,158,1,0.03164556962025317,0.9683544303797469,132,0.14556962025316456,0.0189873417721519,0.8354430379746836
510,Prince George's,3010,Prince George's Precinct 02-003,624,855,118,2386,3010,1,0.20730897009966778,0.7926910299003322,2037,0.2840531561461794,0.03920265780730897,0.6767441860465117
511,Prince George's,1792,Prince George's Precinct 18-009,52,702,37,1740,1792,1,0.029017857142857144,0.9709821428571429,1053,0.39174107142857145,0.020647321428571428,0.5876116071428571
512,Prince George's,2682,Prince George's Precinct 06-019,56,693,26,2626,2682,1,0.020879940343027592,0.9791200596569725,1963,0.25838926174496646,0.009694258016405667,0.7319164802386279
513,Prince George's,2589,Prince George's Precinct 18-007,40,818,42,2549,2589,1,0.01544998068752414,0.9845500193124759,1729,0.31595210505986865,0.016222479721900347,0.667825415218231
514,Prince George's,1021,Prince George's Precinct 18-010,7,260,18,1014,1021,1,0.0068560235063663075,0.9931439764936337,743,0.2546523016650343,0.01762977473065622,0.7277179236043095
515,Prince George's,3626,Prince George's Precinct 18-006,28,988,36,3598,3626,1,0.007722007722007722,0.9922779922779923,2602,0.27247655819084393,0.009928295642581356,0.7175951461665747
516,Prince George's,2067,Prince George's Precinct 18-002,31,518,17,2036,2067,1,0.014997581035316884,0.9850024189646831,1532,0.2506047411707789,0.00822447992259313,0.741170778906628
