race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.3401 (0.3127-0.3659),0.0355 (0.0314-0.0393),0.0941 (0.0829-0.1027),0.1521 (0.1413-0.1627),0.3781 (0.3565-0.3994),0.1585 (0.1512-0.1654)
OVAP,0.6452 (0.566-0.7207),0.0339 (0.0208-0.0525),0.0595 (0.0353-0.1003),0.0777 (0.047-0.1185),0.1837 (0.1133-0.2556),0.048 (0.0405-0.0563)
