race,AG18D,AG18R,AG18Turnout
WVAP,0.6934 (0.6725-0.712),0.3066 (0.288-0.3275),0.4685 (0.4429-0.493)
OVAP,0.9244 (0.8855-0.9545),0.0756 (0.0455-0.1145),0.1917 (0.1654-0.2198)
