race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.6579 (0.6383-0.6764),0.3421 (0.3236-0.3617),0.4512 (0.4293-0.471)
OVAP,0.8489 (0.7604-0.911),0.1511 (0.089-0.2396),0.0939 (0.0744-0.1168)
