race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.8407 (0.8153-0.8654),0.0192 (0.0125-0.0279),0.1401 (0.116-0.1653),0.1199 (0.1139-0.1257)
BVAP,0.2055 (0.0998-0.3331),0.4459 (0.3194-0.5935),0.3487 (0.2083-0.4687),0.0656 (0.0507-0.0819)
HVAP,0.2245 (0.1061-0.4094),0.3572 (0.1712-0.554),0.4183 (0.2379-0.6162),0.0331 (0.0207-0.0482)
OVAP,0.1969 (0.084-0.3501),0.2535 (0.1167-0.4229),0.5496 (0.3561-0.7234),0.0388 (0.0269-0.0534)
