race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.6534 (0.6301-0.6763),0.3466 (0.3237-0.3699),0.4589 (0.4345-0.4833)
OVAP,0.9218 (0.8759-0.9557),0.0782 (0.0443-0.1241),0.1973 (0.1719-0.2238)
