race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.9182 (0.8876-0.9453),0.0818 (0.0547-0.1124),0.2372 (0.2223-0.2531)
OVAP,0.3406 (0.2277-0.4397),0.6594 (0.5603-0.7723),0.0809 (0.0668-0.0951)
