race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.7274 (0.7098-0.7455),0.2726 (0.2545-0.2902),0.4494 (0.4258-0.4725)
OVAP,0.9272 (0.8842-0.9566),0.0728 (0.0434-0.1158),0.1873 (0.1628-0.2137)
