race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.6761 (0.653-0.7007),0.3239 (0.2993-0.347),0.439 (0.4159-0.4623)
OVAP,0.9217 (0.8724-0.9577),0.0783 (0.0423-0.1276),0.2022 (0.1772-0.2272)
