race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4423 (0.4095-0.4711),0.3349 (0.3154-0.3553),0.2228 (0.1997-0.244),0.1345 (0.1276-0.141)
OVAP,0.6173 (0.498-0.7268),0.1374 (0.0838-0.2053),0.2453 (0.1561-0.3517),0.0365 (0.0294-0.0448)
