race,AG14D,AG14R,AG14Turnout
WVAP,0.6645 (0.6452-0.6816),0.3355 (0.3184-0.3548),0.4432 (0.4219-0.4631)
OVAP,0.842 (0.7616-0.9085),0.158 (0.0915-0.2384),0.0888 (0.0695-0.1108)
