race,AG18D,AG18R,AG18Turnout
WVAP,0.7278 (0.7001-0.7572),0.2722 (0.2428-0.2999),0.4531 (0.4284-0.4776)
BVAP,0.8917 (0.7993-0.9478),0.1083 (0.0522-0.2007),0.2487 (0.1755-0.3217)
HVAP,0.8596 (0.724-0.9429),0.1404 (0.0571-0.276),0.1188 (0.0683-0.1766)
OVAP,0.7644 (0.6135-0.8905),0.2356 (0.1095-0.3865),0.2426 (0.1672-0.3283)
