race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.675 (0.6514-0.6989),0.325 (0.3011-0.3486),0.4301 (0.41-0.45)
BVAP,0.851 (0.7403-0.9263),0.149 (0.0737-0.2597),0.1693 (0.1232-0.2204)
HVAP,0.7604 (0.5524-0.906),0.2396 (0.094-0.4476),0.0556 (0.0281-0.0902)
OVAP,0.584 (0.3285-0.811),0.416 (0.189-0.6715),0.1036 (0.0604-0.1562)
