race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.4 (0.3692-0.4312),0.6 (0.5688-0.6308),0.4698 (0.4476-0.4912)
OVAP,0.8902 (0.8302-0.9362),0.1098 (0.0638-0.1698),0.1938 (0.1705-0.218)
