race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.66 (0.6397-0.6798),0.34 (0.3202-0.3603),0.6614 (0.6328-0.6873)
OVAP,0.8727 (0.8085-0.9233),0.1273 (0.0767-0.1915),0.2002 (0.1718-0.2326)
